model,bfw,lfw,difference_lfw_minus_bfw
arcface,0.1132897603485838,0.1544715447154471,0.0411817843668633
facenet512,0.0936819172113289,0.0392953929539295,-0.0543865242573994
ghostfacenet,0.1416122004357298,0.1768292682926829,0.03521706785695308
sface,0.1764705882352941,0.2052845528455284,0.028813964610234305
