model,bfw,lfw,difference_lfw_minus_bfw
arcface,0.1132897603485838,0.1544715447154471,0.0411817843668633
facenet512,0.0958605664488017,0.0399728997289973,-0.0558876667198044
ghostfacenet,0.1416122004357298,0.1775067750677507,0.03589457463202089
sface,0.1764705882352941,0.2052845528455285,0.028813964610234388
