model,bfw,lfw,difference_lfw_minus_bfw
arcface,0.1132897603485838,0.1551490514905149,0.041859291141931085
facenet512,0.0958605664488017,0.0399728997289972,-0.055887666719804496
ghostfacenet,0.1416122004357298,0.1775067750677506,0.03589457463202078
sface,0.1764705882352941,0.2052845528455284,0.028813964610234305
