dataset,model,accuracy,precision,recall,f1_score,far,frr,fmr,fnmr,tar,tnr,eer
bfw,arcface,0.8867102396514162,0.8867102396514162,0.8867102396514162,0.8867102396514162,0.1132897603485838,0.1132897603485838,0.1132897603485838,0.1132897603485838,0.8867102396514162,0.8867102396514162,0.1132897603485838
bfw,facenet512,0.9052287581699346,0.906113537117904,0.9041394335511984,0.9051254089422028,0.0936819172113289,0.0958605664488017,0.0936819172113289,0.0958605664488017,0.9041394335511984,0.906318082788671,0.0958605664488017
bfw,ghostfacenet,0.8583877995642701,0.8583877995642701,0.8583877995642701,0.8583877995642701,0.1416122004357298,0.1416122004357298,0.1416122004357298,0.1416122004357298,0.8583877995642701,0.8583877995642701,0.1416122004357298
bfw,sface,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.8235294117647058,0.8235294117647058,0.1764705882352941
lfw,arcface,0.8451897018970189,0.8454237288135593,0.8448509485094851,0.8451372416130125,0.1544715447154471,0.1551490514905149,0.1544715447154471,0.1551490514905149,0.8448509485094851,0.8455284552845529,0.1544715447154471
lfw,facenet512,0.9603658536585366,0.9606779661016948,0.9600271002710028,0.960352422907489,0.0392953929539295,0.0399728997289972,0.0392953929539295,0.0399728997289972,0.9600271002710028,0.9607046070460704,0.0399728997289973
lfw,ghostfacenet,0.8228319783197832,0.8230508474576271,0.8224932249322493,0.822771941714673,0.1768292682926829,0.1775067750677506,0.1768292682926829,0.1775067750677506,0.8224932249322493,0.823170731707317,0.1775067750677507
lfw,sface,0.7947154471544715,0.7947154471544715,0.7947154471544715,0.7947154471544714,0.2052845528455284,0.2052845528455284,0.2052845528455284,0.2052845528455284,0.7947154471544715,0.7947154471544715,0.2052845528455285
