threshold,accuracy,fmr,fnmr,tar,tnr,total_pairs,genuine_pairs,impostor_pairs,evaluation
0.13281222,0.883442265795207,0.12200435729847495,0.1111111111111111,0.8888888888888888,0.8779956427015251,918,459,459,global_threshold
,0.8812636165577342,0.13071895424836602,0.10675381263616558,0.8932461873638344,0.869281045751634,918,459,459,gender_specific_threshold
