gender,global_threshold,gender_threshold,before_accuracy,after_accuracy,before_fmr,after_fmr,before_fnmr,after_fnmr,before_tar,after_tar
females,0.13281222,0.13611951,0.8791946308724832,0.8791946308724832,0.1357615894039735,0.1357615894039735,0.1054421768707483,0.1054421768707483,0.8945578231292517,0.8945578231292517
males,0.13281222,0.11494075,0.8913043478260869,0.8850931677018633,0.09554140127388536,0.12101910828025478,0.12121212121212122,0.10909090909090909,0.8787878787878788,0.8909090909090909
