metric,before,after,change
FMR gap,0.04022018813008815,0.014742481123718731,-0.02547770700636942
FNMR gap,0.01576994434137291,0.0036487322201607802,-0.01212121212121213
Accuracy gap,0.012109716953603744,0.00589853682938013,-0.006211180124223614
