threshold,female_fmr,male_fmr,female_fnmr,male_fnmr,female_tar,male_tar,female_accuracy,male_accuracy,fmr_disparity,fnmr_disparity,tar_disparity,accuracy_disparity
0.05,0.4166666666666667,0.42105263157894735,0.05102040816326525,0.07272727272727275,0.9489795918367347,0.9272727272727272,0.7991967871485943,0.8620689655172413,0.00438596491228066,0.0217068645640075,0.0217068645640075,0.062872178368647
0.060000000000000005,0.38235294117647056,0.39473684210526316,0.05442176870748294,0.07878787878787874,0.9455782312925171,0.9212121212121213,0.8112449799196787,0.8620689655172413,0.012383900928792602,0.024366110080395798,0.024366110080395798,0.050823985597562626
0.07,0.3333333333333333,0.3684210526315789,0.05782312925170063,0.07878787878787874,0.9421768707482994,0.9212121212121213,0.8293172690763052,0.8669950738916257,0.03508771929824561,0.020964749536178107,0.020964749536178107,0.03767780481532046
0.08000000000000002,0.28921568627450983,0.34210526315789475,0.0680272108843537,0.07878787878787874,0.9319727891156463,0.9212121212121213,0.8413654618473896,0.8719211822660099,0.052889576883384914,0.010760667903525034,0.010760667903525034,0.030555720418620314
0.09000000000000001,0.25980392156862747,0.2894736842105263,0.0714285714285714,0.08484848484848484,0.9285714285714286,0.9151515151515152,0.8514056224899599,0.8768472906403941,0.029669762641898856,0.013419913419913443,0.013419913419913443,0.02544166815043425
0.1,0.23529411764705882,0.2631578947368421,0.0714285714285714,0.10303030303030303,0.9285714285714286,0.896969696969697,0.8614457831325302,0.8669950738916257,0.02786377708978327,0.03160173160173163,0.03160173160173163,0.005549290759095493
0.11000000000000001,0.22549019607843138,0.2631578947368421,0.07823129251700678,0.10303030303030303,0.9217687074829932,0.896969696969697,0.8614457831325302,0.8669950738916257,0.037667698658410714,0.02479901051329625,0.02479901051329625,0.005549290759095493
0.12000000000000001,0.20098039215686275,0.23684210526315788,0.09183673469387754,0.10909090909090913,0.9081632653061225,0.8909090909090909,0.8634538152610441,0.8669950738916257,0.03586171310629513,0.017254174397031585,0.017254174397031585,0.003541258630581523
0.13,0.18137254901960784,0.21052631578947367,0.10204081632653061,0.12121212121212122,0.8979591836734694,0.8787878787878788,0.8654618473895582,0.8620689655172413,0.029153766769865835,0.0191713048855906,0.0191713048855906,0.0033928818723168996
0.14,0.1568627450980392,0.15789473684210525,0.11224489795918369,0.12121212121212122,0.8877551020408163,0.8787878787878788,0.8694779116465864,0.8719211822660099,0.0010319917440660409,0.008967223252937528,0.008967223252937528,0.00244327061942351
0.15000000000000002,0.1323529411764706,0.13157894736842105,0.12585034013605445,0.12121212121212122,0.8741496598639455,0.8787878787878788,0.8714859437751004,0.8768472906403941,0.0007739938080495445,0.004638218923933235,0.004638218923933235,0.00536134686529377
0.16000000000000003,0.12254901960784313,0.13157894736842105,0.13605442176870752,0.1333333333333333,0.8639455782312925,0.8666666666666667,0.8694779116465864,0.8669950738916257,0.009029927760577913,0.0027210884353742193,0.0027210884353742193,0.0024828377549607206
0.17000000000000004,0.09803921568627451,0.13157894736842105,0.1394557823129252,0.1393939393939394,0.8605442176870748,0.8606060606060606,0.8775100401606426,0.8620689655172413,0.03353973168214654,6.184291898581051e-05,6.184291898581051e-05,0.015441074643401276
0.18000000000000005,0.09313725490196079,0.13157894736842105,0.15306122448979587,0.1515151515151515,0.8469387755102041,0.8484848484848485,0.8714859437751004,0.8522167487684729,0.03844169246646026,0.0015460729746443747,0.0015460729746443747,0.019269195006627493
0.19,0.0784313725490196,0.10526315789473684,0.17006802721088432,0.1575757575757576,0.8299319727891157,0.8424242424242424,0.8674698795180723,0.8522167487684729,0.02683178534571723,0.01249226963512673,0.01249226963512673,0.015253130749599442
0.2,0.06862745098039216,0.02631578947368421,0.18367346938775508,0.17575757575757578,0.8163265306122449,0.8242424242424242,0.8634538152610441,0.8522167487684729,0.042311661506707954,0.007915893630179305,0.007915893630179305,0.01123706649257128
0.21000000000000002,0.049019607843137254,0.02631578947368421,0.18367346938775508,0.17575757575757578,0.8163265306122449,0.8242424242424242,0.8714859437751004,0.8522167487684729,0.022703818369453045,0.007915893630179305,0.007915893630179305,0.019269195006627493
0.22000000000000003,0.049019607843137254,0.02631578947368421,0.19727891156462585,0.19393939393939397,0.8027210884353742,0.806060606060606,0.8634538152610441,0.8374384236453202,0.022703818369453045,0.0033395176252318803,0.0033395176252318803,0.02601539161572397
0.23000000000000004,0.0392156862745098,0.02631578947368421,0.20748299319727892,0.21212121212121215,0.7925170068027211,0.7878787878787878,0.8614457831325302,0.8226600985221675,0.012899896800825594,0.004638218923933235,0.004638218923933235,0.03878568461036269
0.24000000000000005,0.0392156862745098,0.02631578947368421,0.217687074829932,0.21818181818181814,0.782312925170068,0.7818181818181819,0.8554216867469879,0.8177339901477833,0.012899896800825594,0.000494743351886151,0.000494743351886151,0.03768769659920468
0.25000000000000006,0.029411764705882353,0.02631578947368421,0.23469387755102045,0.22424242424242424,0.7653061224489796,0.7757575757575758,0.8493975903614458,0.812807881773399,0.0030959752321981435,0.010451453308596204,0.010451453308596204,0.036589708588046777
0.26000000000000006,0.024509803921568627,0.02631578947368421,0.2551020408163265,0.23636363636363633,0.7448979591836735,0.7636363636363637,0.8393574297188755,0.8029556650246306,0.001805985552115582,0.01873840445269015,0.01873840445269015,0.03640176469424494
