model,accuracy,precision,recall,f1_score,far,frr,fmr,fnmr,tar,tnr,eer,mean_disparity,has_fairness_data,accuracy_rank,eer_rank,tar_rank,fairness_rank,overall_rank_score,overall_rank
facenet512,0.9052287581699346,0.906113537117904,0.9041394335511984,0.9051254089422028,0.0936819172113289,0.0958605664488017,0.0936819172113289,0.0958605664488017,0.9041394335511984,0.906318082788671,0.0958605664488017,0.017709255764254212,True,1.0,1.0,1.0,3.0,1.5,1
arcface,0.8867102396514162,0.8867102396514162,0.8867102396514162,0.8867102396514162,0.1132897603485838,0.1132897603485838,0.1132897603485838,0.1132897603485838,0.8867102396514162,0.8867102396514162,0.1132897603485838,0.00623044259279017,True,2.0,2.0,2.0,1.0,1.75,2
ghostfacenet,0.8583877995642701,0.8583877995642701,0.8583877995642701,0.8583877995642701,0.1416122004357298,0.1416122004357298,0.1416122004357298,0.1416122004357298,0.8583877995642701,0.8583877995642701,0.1416122004357298,0.00979396704782101,True,3.0,3.0,3.0,2.0,2.75,3
sface,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.8235294117647058,0.8235294117647058,0.1764705882352941,0.02456014487661548,True,4.0,4.0,4.0,4.0,4.0,4
