model,accuracy,precision,recall,f1_score,far,frr,fmr,fnmr,tar,tnr,eer,mean_disparity,has_fairness_data
arcface,0.8867102396514162,0.8867102396514162,0.8867102396514162,0.8867102396514162,0.1132897603485838,0.1132897603485838,0.1132897603485838,0.1132897603485838,0.8867102396514162,0.8867102396514162,0.1132897603485838,0.00623044259279017,True
facenet512,0.9052287581699346,0.906113537117904,0.9041394335511984,0.9051254089422028,0.0936819172113289,0.0958605664488017,0.0936819172113289,0.0958605664488017,0.9041394335511984,0.906318082788671,0.0958605664488017,0.017709255764254212,True
ghostfacenet,0.8583877995642701,0.8583877995642701,0.8583877995642701,0.8583877995642701,0.1416122004357298,0.1416122004357298,0.1416122004357298,0.1416122004357298,0.8583877995642701,0.8583877995642701,0.1416122004357298,0.00979396704782101,True
sface,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.1764705882352941,0.8235294117647058,0.8235294117647058,0.1764705882352941,0.02456014487661548,True
