split,accuracy,precision,recall,f1_score,far,frr,fmr,fnmr,tar,tnr,eer,eer_threshold,total_pairs,genuine_pairs,impostor_pairs
train,0.7936507936507936,0.7936507936507936,0.7936507936507936,0.7936507936507936,0.20634920634920634,0.20634920634920634,0.20634920634920634,0.20634920634920634,0.7936507936507936,0.7936507936507936,0.20634920634920637,0.22664869,4284,2142,2142
validation,0.8082788671023965,0.8082788671023965,0.8082788671023965,0.8082788671023965,0.19172113289760348,0.19172113289760348,0.19172113289760348,0.19172113289760348,0.8082788671023965,0.8082788671023965,0.1917211328976035,0.23352611,918,459,459
test,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.8235294117647058,0.8235294117647058,0.17647058823529416,0.24252322,918,459,459
