attribute,group_value,sample_size,genuine_pairs,impostor_pairs,excluded,exclusion_reason,accuracy,precision,recall,f1_score,far,frr,fmr,fnmr,tar,tnr,eer,eer_threshold
group,asian,918,459,459,False,,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.8235294117647058,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.8235294117647058,0.8235294117647058,0.17647058823529416,0.24252322
gender,females,498,294,204,False,,0.7771084337349398,0.7961165048543689,0.8367346938775511,0.8159203980099503,0.3088235294117647,0.16326530612244897,0.3088235294117647,0.16326530612244897,0.8367346938775511,0.6911764705882353,0.20588235294117646,0.2710142817647059
gender,males,203,165,38,False,,0.8029556650246306,0.9496402877697842,0.8,0.8684210526315789,0.18421052631578946,0.2,0.18421052631578946,0.2,0.8,0.8157894736842105,0.1842105263157895,0.23714033789473685
