split,threshold,fpr,tpr
train,inf,0.0,0.0
train,0.9891554,0.0,0.0001452011035283868
train,0.62351006,0.0,0.19660229417743574
train,0.62350154,0.0001452011035283868,0.19660229417743574
train,0.62313884,0.0001452011035283868,0.19761870190213446
train,0.6231247,0.0002904022070567736,0.19761870190213446
train,0.6059667,0.0002904022070567736,0.23377377668070276
train,0.6058478,0.00043560331058516046,0.23377377668070276
train,0.6033089,0.00043560331058516046,0.23972702192536663
train,0.6033024,0.0005808044141135473,0.23972702192536663
train,0.597738,0.0005808044141135473,0.25279512124292147
train,0.59771854,0.000726005517641934,0.25279512124292147
train,0.5880861,0.000726005517641934,0.27443008566865107
train,0.58806354,0.0008712066211703209,0.27443008566865107
train,0.58430254,0.0008712066211703209,0.28256134746624073
train,0.584279,0.0010164077246987077,0.28256134746624073
train,0.5802781,0.0010164077246987077,0.2928706258167562
train,0.58015686,0.0011616088282270945,0.2928706258167562
train,0.57329655,0.0011616088282270945,0.31189197037897487
train,0.5731842,0.0013068099317554813,0.31189197037897487
train,0.57130086,0.0013068099317554813,0.3179904167271671
train,0.5712806,0.001452011035283868,0.3179904167271671
train,0.5702909,0.001452011035283868,0.3210396399012633
train,0.5702906,0.001452011035283868,0.32133004210832
train,0.565527,0.001452011035283868,0.3317845215623639
train,0.56543803,0.001597212138812255,0.3317845215623639
train,0.56351244,0.001597212138812255,0.3368665601858574
train,0.5634031,0.0017424132423406419,0.3368665601858574
train,0.54924244,0.0017424132423406419,0.37302163496442575
train,0.54913306,0.0018876143458690286,0.37302163496442575
train,0.54617256,0.0018876143458690286,0.3824597066937709
train,0.5461633,0.0020328154493974154,0.3824597066937709
train,0.54522514,0.0020328154493974154,0.3856541309713954
train,0.54519993,0.0021780165529258024,0.3856541309713954
train,0.542939,0.0021780165529258024,0.3917525773195876
train,0.5429299,0.002323217656454189,0.3917525773195876
train,0.54080147,0.002323217656454189,0.39785102366777986
train,0.5407909,0.002468418759982576,0.39785102366777986
train,0.5369376,0.002468418759982576,0.40728909539712504
train,0.5368936,0.0026136198635109626,0.40728909539712504
train,0.5368312,0.0026136198635109626,0.40786989981123856
train,0.5367823,0.0027588209670393496,0.40786989981123856
train,0.53583837,0.0027588209670393496,0.41048351967474955
train,0.5357604,0.002904022070567736,0.41048351967474955
train,0.5333655,0.002904022070567736,0.4184695803688108
train,0.5332772,0.003049223174096123,0.4184695803688108
train,0.5330227,0.003049223174096123,0.4193407869899811
train,0.5329736,0.00319442427762451,0.4193407869899811
train,0.53179574,0.00319442427762451,0.423406417888776
train,0.53166044,0.0033396253811528967,0.423406417888776
train,0.5310658,0.0033396253811528967,0.42529403223464496
train,0.53105897,0.0034848264846812837,0.42529403223464496
train,0.5304491,0.0034848264846812837,0.427181646580514
train,0.5302803,0.0036300275882096703,0.427181646580514
train,0.5284924,0.0036300275882096703,0.4329896907216495
train,0.52841926,0.0037752286917380573,0.4329896907216495
train,0.5276835,0.0037752286917380573,0.43531290837810366
train,0.5276732,0.003920429795266444,0.43531290837810366
train,0.52690846,0.003920429795266444,0.4374909249310295
train,0.5268925,0.004065630898794831,0.4374909249310295
train,0.52480155,0.004065630898794831,0.4435893712792217
train,0.52475697,0.004210832002323217,0.4435893712792217
train,0.52472174,0.004210832002323217,0.4438797734862785
train,0.5247085,0.004356033105851605,0.4438797734862785
train,0.5232376,0.004356033105851605,0.4483810076956585
train,0.5230833,0.0045012342093799914,0.4483810076956585
train,0.51889044,0.0045012342093799914,0.4604326992885146
train,0.5188677,0.004646435312908378,0.4604326992885146
train,0.5179931,0.004646435312908378,0.4633367213590823
train,0.51790774,0.004791636416436765,0.4633367213590823
train,0.5169649,0.004791636416436765,0.46595034122259327
train,0.51696,0.004936837519965152,0.46595034122259327
train,0.5150528,0.004936837519965152,0.4711775809496152
train,0.5149916,0.005227239727021925,0.4711775809496152
train,0.5146161,0.005227239727021925,0.47233918977784234
train,0.51460534,0.005372440830550313,0.47233918977784234
train,0.51358163,0.005372440830550313,0.4739364019166546
train,0.5135616,0.005517641934078699,0.4739364019166546
train,0.51329875,0.005517641934078699,0.47509801074488167
train,0.5132908,0.005662843037607086,0.47509801074488167
train,0.5130479,0.005662843037607086,0.4756788151589952
train,0.5129876,0.005808044141135472,0.4756788151589952
train,0.5129314,0.005808044141135472,0.47611441846958036
train,0.51290166,0.006098446348192246,0.47611441846958036
train,0.5123735,0.006098446348192246,0.4781472339189778
