split,threshold,far,frr,tar,tnr
train,inf,0.0,1.0,0.0,1.0
train,0.9891554,0.0,0.9998547988964717,0.0001452011035283868,1.0
train,0.62351006,0.0,0.8033977058225643,0.19660229417743574,1.0
train,0.62350154,0.0001452011035283868,0.8033977058225643,0.19660229417743574,0.9998547988964717
train,0.62313884,0.0001452011035283868,0.8023812980978655,0.19761870190213446,0.9998547988964717
train,0.6231247,0.0002904022070567736,0.8023812980978655,0.19761870190213446,0.9997095977929432
train,0.6059667,0.0002904022070567736,0.7662262233192972,0.23377377668070276,0.9997095977929432
train,0.6058478,0.00043560331058516046,0.7662262233192972,0.23377377668070276,0.9995643966894149
train,0.6033089,0.00043560331058516046,0.7602729780746333,0.23972702192536663,0.9995643966894149
train,0.6033024,0.0005808044141135473,0.7602729780746333,0.23972702192536663,0.9994191955858864
train,0.597738,0.0005808044141135473,0.7472048787570785,0.25279512124292147,0.9994191955858864
train,0.59771854,0.000726005517641934,0.7472048787570785,0.25279512124292147,0.9992739944823581
train,0.5880861,0.000726005517641934,0.725569914331349,0.27443008566865107,0.9992739944823581
train,0.58806354,0.0008712066211703209,0.725569914331349,0.27443008566865107,0.9991287933788296
train,0.58430254,0.0008712066211703209,0.7174386525337593,0.28256134746624073,0.9991287933788296
train,0.584279,0.0010164077246987077,0.7174386525337593,0.28256134746624073,0.9989835922753013
train,0.5802781,0.0010164077246987077,0.7071293741832438,0.2928706258167562,0.9989835922753013
train,0.58015686,0.0011616088282270945,0.7071293741832438,0.2928706258167562,0.9988383911717729
train,0.57329655,0.0011616088282270945,0.6881080296210251,0.31189197037897487,0.9988383911717729
train,0.5731842,0.0013068099317554813,0.6881080296210251,0.31189197037897487,0.9986931900682445
train,0.57130086,0.0013068099317554813,0.6820095832728329,0.3179904167271671,0.9986931900682445
train,0.5712806,0.001452011035283868,0.6820095832728329,0.3179904167271671,0.9985479889647161
train,0.5702909,0.001452011035283868,0.6789603600987367,0.3210396399012633,0.9985479889647161
train,0.5702906,0.001452011035283868,0.6786699578916799,0.32133004210832,0.9985479889647161
train,0.565527,0.001452011035283868,0.6682154784376362,0.3317845215623639,0.9985479889647161
train,0.56543803,0.001597212138812255,0.6682154784376362,0.3317845215623639,0.9984027878611877
train,0.56351244,0.001597212138812255,0.6631334398141426,0.3368665601858574,0.9984027878611877
train,0.5634031,0.0017424132423406419,0.6631334398141426,0.3368665601858574,0.9982575867576594
train,0.54924244,0.0017424132423406419,0.6269783650355742,0.37302163496442575,0.9982575867576594
train,0.54913306,0.0018876143458690286,0.6269783650355742,0.37302163496442575,0.998112385654131
train,0.54617256,0.0018876143458690286,0.6175402933062291,0.3824597066937709,0.998112385654131
train,0.5461633,0.0020328154493974154,0.6175402933062291,0.3824597066937709,0.9979671845506026
train,0.54522514,0.0020328154493974154,0.6143458690286046,0.3856541309713954,0.9979671845506026
train,0.54519993,0.0021780165529258024,0.6143458690286046,0.3856541309713954,0.9978219834470742
train,0.542939,0.0021780165529258024,0.6082474226804124,0.3917525773195876,0.9978219834470742
train,0.5429299,0.002323217656454189,0.6082474226804124,0.3917525773195876,0.9976767823435458
train,0.54080147,0.002323217656454189,0.6021489763322201,0.39785102366777986,0.9976767823435458
train,0.5407909,0.002468418759982576,0.6021489763322201,0.39785102366777986,0.9975315812400174
train,0.5369376,0.002468418759982576,0.5927109046028749,0.40728909539712504,0.9975315812400174
train,0.5368936,0.0026136198635109626,0.5927109046028749,0.40728909539712504,0.9973863801364891
train,0.5368312,0.0026136198635109626,0.5921301001887614,0.40786989981123856,0.9973863801364891
train,0.5367823,0.0027588209670393496,0.5921301001887614,0.40786989981123856,0.9972411790329606
train,0.53583837,0.0027588209670393496,0.5895164803252504,0.41048351967474955,0.9972411790329606
train,0.5357604,0.002904022070567736,0.5895164803252504,0.41048351967474955,0.9970959779294323
train,0.5333655,0.002904022070567736,0.5815304196311892,0.4184695803688108,0.9970959779294323
train,0.5332772,0.003049223174096123,0.5815304196311892,0.4184695803688108,0.9969507768259038
train,0.5330227,0.003049223174096123,0.5806592130100189,0.4193407869899811,0.9969507768259038
train,0.5329736,0.00319442427762451,0.5806592130100189,0.4193407869899811,0.9968055757223755
train,0.53179574,0.00319442427762451,0.576593582111224,0.423406417888776,0.9968055757223755
train,0.53166044,0.0033396253811528967,0.576593582111224,0.423406417888776,0.9966603746188472
train,0.5310658,0.0033396253811528967,0.574705967765355,0.42529403223464496,0.9966603746188472
train,0.53105897,0.0034848264846812837,0.574705967765355,0.42529403223464496,0.9965151735153187
train,0.5304491,0.0034848264846812837,0.572818353419486,0.427181646580514,0.9965151735153187
train,0.5302803,0.0036300275882096703,0.572818353419486,0.427181646580514,0.9963699724117904
train,0.5284924,0.0036300275882096703,0.5670103092783505,0.4329896907216495,0.9963699724117904
train,0.52841926,0.0037752286917380573,0.5670103092783505,0.4329896907216495,0.9962247713082619
train,0.5276835,0.0037752286917380573,0.5646870916218963,0.43531290837810366,0.9962247713082619
train,0.5276732,0.003920429795266444,0.5646870916218963,0.43531290837810366,0.9960795702047336
train,0.52690846,0.003920429795266444,0.5625090750689705,0.4374909249310295,0.9960795702047336
train,0.5268925,0.004065630898794831,0.5625090750689705,0.4374909249310295,0.9959343691012051
train,0.52480155,0.004065630898794831,0.5564106287207783,0.4435893712792217,0.9959343691012051
train,0.52475697,0.004210832002323217,0.5564106287207783,0.4435893712792217,0.9957891679976768
train,0.52472174,0.004210832002323217,0.5561202265137215,0.4438797734862785,0.9957891679976768
train,0.5247085,0.004356033105851605,0.5561202265137215,0.4438797734862785,0.9956439668941484
train,0.5232376,0.004356033105851605,0.5516189923043415,0.4483810076956585,0.9956439668941484
train,0.5230833,0.0045012342093799914,0.5516189923043415,0.4483810076956585,0.99549876579062
train,0.51889044,0.0045012342093799914,0.5395673007114854,0.4604326992885146,0.99549876579062
train,0.5188677,0.004646435312908378,0.5395673007114854,0.4604326992885146,0.9953535646870916
train,0.5179931,0.004646435312908378,0.5366632786409177,0.4633367213590823,0.9953535646870916
train,0.51790774,0.004791636416436765,0.5366632786409177,0.4633367213590823,0.9952083635835632
train,0.5169649,0.004791636416436765,0.5340496587774067,0.46595034122259327,0.9952083635835632
train,0.51696,0.004936837519965152,0.5340496587774067,0.46595034122259327,0.9950631624800349
train,0.5150528,0.004936837519965152,0.5288224190503847,0.4711775809496152,0.9950631624800349
train,0.5149916,0.005227239727021925,0.5288224190503847,0.4711775809496152,0.9947727602729781
train,0.5146161,0.005227239727021925,0.5276608102221576,0.47233918977784234,0.9947727602729781
train,0.51460534,0.005372440830550313,0.5276608102221576,0.47233918977784234,0.9946275591694497
train,0.51358163,0.005372440830550313,0.5260635980833455,0.4739364019166546,0.9946275591694497
train,0.5135616,0.005517641934078699,0.5260635980833455,0.4739364019166546,0.9944823580659213
train,0.51329875,0.005517641934078699,0.5249019892551183,0.47509801074488167,0.9944823580659213
train,0.5132908,0.005662843037607086,0.5249019892551183,0.47509801074488167,0.9943371569623929
train,0.5130479,0.005662843037607086,0.5243211848410048,0.4756788151589952,0.9943371569623929
train,0.5129876,0.005808044141135472,0.5243211848410048,0.4756788151589952,0.9941919558588646
train,0.5129314,0.005808044141135472,0.5238855815304196,0.47611441846958036,0.9941919558588646
train,0.51290166,0.006098446348192246,0.5238855815304196,0.47611441846958036,0.9939015536518078
train,0.5123735,0.006098446348192246,0.5218527660810222,0.4781472339189778,0.9939015536518078
train,0.51236135,0.006243647451720633,0.5218527660810222,0.4781472339189778,0.9937563525482793
train,0.5121068,0.006243647451720633,0.5208363583563236,0.4791636416436765,0.9937563525482793
train,0.511996,0.00638884855524902,0.5208363583563236,0.4791636416436765,0.993611151444751
train,0.5118003,0.00638884855524902,0.52025555394221,0.47974444605779004,0.993611151444751
train,0.5117877,0.006534049658777407,0.52025555394221,0.47974444605779004,0.9934659503412226
train,0.5107945,0.006534049658777407,0.5167707274575286,0.48322927254247133,0.9934659503412226
train,0.5106547,0.00682445186583418,0.5167707274575286,0.48322927254247133,0.9931755481341659
train,0.5102025,0.00682445186583418,0.51575431973283,0.48424568026717,0.9931755481341659
train,0.5101062,0.0069696529693625674,0.51575431973283,0.48424568026717,0.9930303470306374
train,0.50949126,0.0069696529693625674,0.5141571075940177,0.4858428924059823,0.9930303470306374
train,0.5094721,0.007114854072890954,0.5141571075940177,0.4858428924059823,0.9928851459271091
train,0.50870067,0.007114854072890954,0.5115434877305067,0.48845651226949327,0.9928851459271091
train,0.50863355,0.007260055176419341,0.5115434877305067,0.48845651226949327,0.9927399448235806
train,0.50820154,0.007260055176419341,0.509801074488166,0.4901989255118339,0.9927399448235806
train,0.5081638,0.007405256279947728,0.509801074488166,0.4901989255118339,0.9925947437200523
train,0.5080399,0.007405256279947728,0.509365471177581,0.49063452882241904,0.9925947437200523
train,0.5079859,0.007695658487004501,0.509365471177581,0.49063452882241904,0.9923043415129955
train,0.50762916,0.007695658487004501,0.5073326557281835,0.49266734427181647,0.9923043415129955
train,0.5076152,0.007840859590532889,0.5073326557281835,0.49266734427181647,0.9921591404094671
train,0.5065022,0.007840859590532889,0.504864236968201,0.495135763031799,0.9921591404094671
train,0.50645983,0.007986060694061275,0.504864236968201,0.495135763031799,0.9920139393059387
train,0.5064028,0.007986060694061275,0.5045738347611441,0.4954261652388558,0.9920139393059387
train,0.50635,0.008131261797589662,0.5045738347611441,0.4954261652388558,0.9918687382024103
train,0.5057118,0.008131261797589662,0.5037026281399739,0.49629737186002615,0.9918687382024103
train,0.50559276,0.008276462901118048,0.5037026281399739,0.49629737186002615,0.991723537098882
train,0.50553095,0.008276462901118048,0.5032670248293887,0.4967329751706113,0.991723537098882
train,0.50546503,0.008421664004646435,0.5032670248293887,0.4967329751706113,0.9915783359953536
train,0.50497836,0.008421664004646435,0.5023958182082184,0.4976041817917816,0.9915783359953536
train,0.5049703,0.008566865108174821,0.5023958182082184,0.4976041817917816,0.9914331348918252
train,0.5031001,0.008566865108174821,0.4983301873094236,0.5016698126905764,0.9914331348918252
train,0.5030841,0.00871206621170321,0.4983301873094236,0.5016698126905764,0.9912879337882968
train,0.50287217,0.00871206621170321,0.4973137795847249,0.5026862204152751,0.9912879337882968
train,0.5028645,0.008857267315231596,0.4973137795847249,0.5026862204152751,0.9911427326847684
train,0.5020094,0.008857267315231596,0.49571656744591264,0.5042834325540874,0.9911427326847684
train,0.50193274,0.00914766952228837,0.49571656744591264,0.5042834325540874,0.9908523304777116
train,0.5018607,0.00914766952228837,0.4955713663423842,0.5044286336576158,0.9908523304777116
train,0.5017893,0.009292870625816756,0.4955713663423842,0.5044286336576158,0.9907071293741833
train,0.50161374,0.009292870625816756,0.4949905619282706,0.5050094380717294,0.9907071293741833
train,0.50158113,0.009438071729345143,0.4949905619282706,0.5050094380717294,0.9905619282706548
train,0.5002474,0.009438071729345143,0.4909249310294759,0.5090750689705241,0.9905619282706548
train,0.5002354,0.00958327283287353,0.4909249310294759,0.5090750689705241,0.9904167271671265
train,0.5000673,0.00958327283287353,0.4903441266153623,0.5096558733846377,0.9904167271671265
train,0.5000546,0.009728473936401917,0.4903441266153623,0.5096558733846377,0.990271526063598
train,0.49973005,0.009728473936401917,0.4896181210977203,0.5103818789022797,0.990271526063598
train,0.49963328,0.009873675039930304,0.4896181210977203,0.5103818789022797,0.9901263249600697
train,0.49936694,0.009873675039930304,0.48874691447655005,0.51125308552345,0.9901263249600697
train,0.49936473,0.01001887614345869,0.48874691447655005,0.51125308552345,0.9899811238565414
train,0.49845645,0.01001887614345869,0.486859300130681,0.513140699869319,0.9899811238565414
train,0.49844718,0.010164077246987077,0.486859300130681,0.513140699869319,0.9898359227530129
train,0.4973765,0.010164077246987077,0.4833744736459997,0.5166255263540003,0.9898359227530129
train,0.49734846,0.010309278350515464,0.4833744736459997,0.5166255263540003,0.9896907216494846
train,0.4957058,0.010309278350515464,0.4790184405401481,0.5209815594598519,0.9896907216494846
train,0.49567154,0.01045447945404385,0.4790184405401481,0.5209815594598519,0.9895455205459561
