split,accuracy,precision,recall,f1_score,far,frr,fmr,fnmr,tar,tnr,eer,eer_threshold,total_pairs,genuine_pairs,impostor_pairs
train,0.8408595905328881,0.8408595905328881,0.8408595905328881,0.8408595905328881,0.15914040946711194,0.15914040946711194,0.15914040946711194,0.15914040946711194,0.8408595905328881,0.8408595905328881,0.15914040946711194,0.33742505,13774,6887,6887
validation,0.8323170731707317,0.8325423728813559,0.8319783197831978,0.8322602507624534,0.1673441734417344,0.16802168021680217,0.1673441734417344,0.16802168021680217,0.8319783197831978,0.8326558265582655,0.1680216802168022,0.3335536333333333,2952,1476,1476
test,0.8451897018970189,0.8454237288135593,0.8448509485094851,0.8451372416130125,0.15447154471544716,0.15514905149051492,0.15447154471544716,0.15514905149051492,0.8448509485094851,0.8455284552845529,0.15447154471544716,0.3395906775,2952,1476,1476
