model,accuracy,precision,recall,f1_score,far,frr,fmr,fnmr,tar,tnr,eer,mean_disparity,has_fairness_data
arcface,0.8451897018970189,0.8454237288135593,0.8448509485094851,0.8451372416130125,0.1544715447154471,0.1551490514905149,0.1544715447154471,0.1551490514905149,0.8448509485094851,0.8455284552845529,0.1544715447154471,,False
facenet512,0.9603658536585366,0.9606779661016948,0.9600271002710028,0.960352422907489,0.0392953929539295,0.0399728997289972,0.0392953929539295,0.0399728997289972,0.9600271002710028,0.9607046070460704,0.0399728997289973,,False
ghostfacenet,0.8228319783197832,0.8230508474576271,0.8224932249322493,0.822771941714673,0.1768292682926829,0.1775067750677506,0.1768292682926829,0.1775067750677506,0.8224932249322493,0.823170731707317,0.1775067750677507,,False
sface,0.7947154471544715,0.7947154471544715,0.7947154471544715,0.7947154471544714,0.2052845528455284,0.2052845528455284,0.2052845528455284,0.2052845528455284,0.7947154471544715,0.7947154471544715,0.2052845528455285,,False
