selection,threshold,accuracy,tar,fmr,fnmr,female_accuracy,male_accuracy,female_tar,male_tar,female_fmr,male_fmr,female_fnmr,male_fnmr,fmr_disparity,fnmr_disparity,tar_disparity,accuracy_disparity,mean_disparity,fairness_score,balanced_score
fairness_optimal,0.15462445361111113,0.8910675381263616,0.8736383442265795,0.0915032679738562,0.12636165577342048,0.8755020080321285,0.8719211822660099,0.8741496598639455,0.8727272727272728,0.12254901960784313,0.13157894736842105,0.12585034013605442,0.12727272727272726,0.009029927760577913,0.001422387136672837,0.0014223871366727536,0.0035808257661186227,0.0038638819500105316,0.9961361180499895,0.9436018280881755
accuracy_optimal,0.18526265388888893,0.8943355119825708,0.8431372549019608,0.054466230936819175,0.1568627450980392,0.8755020080321285,0.8522167487684729,0.8435374149659864,0.8424242424242424,0.0784313725490196,0.10526315789473684,0.1564625850340136,0.15757575757575756,0.02683178534571723,0.0011131725417439509,0.0011131725417440341,0.023285259263655655,0.013085847423215217,0.9869141525767848,0.9406248322796777
balanced_optimal,0.15462445361111113,0.8910675381263616,0.8736383442265795,0.0915032679738562,0.12636165577342048,0.8755020080321285,0.8719211822660099,0.8741496598639455,0.8727272727272728,0.12254901960784313,0.13157894736842105,0.12585034013605442,0.12727272727272726,0.009029927760577913,0.001422387136672837,0.0014223871366727536,0.0035808257661186227,0.0038638819500105316,0.9961361180499895,0.9436018280881755
fairness_constrained_accuracy_optimal,0.14849681355555558,0.8910675381263616,0.8801742919389979,0.09803921568627451,0.11982570806100218,0.8755020080321285,0.8719211822660099,0.8809523809523809,0.8787878787878788,0.1323529411764706,0.15789473684210525,0.11904761904761904,0.12121212121212122,0.025541795665634665,0.0021645021645021745,0.0021645021645021467,0.0035808257661186227,0.008362906440189402,0.9916370935598106,0.9413523158430861
