threshold,accuracy,tar,fmr,fnmr,female_accuracy,male_accuracy,female_tar,male_tar,female_fmr,male_fmr,female_fnmr,male_fnmr,fmr_disparity,fnmr_disparity,tar_disparity,accuracy_disparity,mean_disparity,fairness_score,balanced_score
-0.24367215,0.5,1.0,1.0,0.0,0.5903614457831325,0.812807881773399,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.22244643599026648,0.05561160899756662,0.9443883910024333,0.7221941955012167
-0.23754450994444445,0.5010893246187363,1.0,0.9978213507625272,0.0,0.5903614457831325,0.812807881773399,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.22244643599026648,0.05561160899756662,0.9443883910024333,0.7227388578105849
-0.2314168698888889,0.5010893246187363,1.0,0.9978213507625272,0.0,0.5903614457831325,0.812807881773399,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.22244643599026648,0.05561160899756662,0.9443883910024333,0.7227388578105849
-0.22528922983333333,0.5010893246187363,1.0,0.9978213507625272,0.0,0.5903614457831325,0.812807881773399,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.22244643599026648,0.05561160899756662,0.9443883910024333,0.7227388578105849
-0.21916158977777778,0.5021786492374728,1.0,0.9956427015250545,0.0,0.5923694779116466,0.812807881773399,1.0,1.0,0.9950980392156863,1.0,0.0,0.0,0.004901960784313708,0.0,0.0,0.2204384038617524,0.056335091161516526,0.9436649088384834,0.722921779037978
-0.21303394972222223,0.5021786492374728,1.0,0.9956427015250545,0.0,0.5923694779116466,0.812807881773399,1.0,1.0,0.9950980392156863,1.0,0.0,0.0,0.004901960784313708,0.0,0.0,0.2204384038617524,0.056335091161516526,0.9436649088384834,0.722921779037978
-0.20690630966666668,0.5021786492374728,1.0,0.9956427015250545,0.0,0.5923694779116466,0.812807881773399,1.0,1.0,0.9950980392156863,1.0,0.0,0.0,0.004901960784313708,0.0,0.0,0.2204384038617524,0.056335091161516526,0.9436649088384834,0.722921779037978
-0.20077866961111113,0.5021786492374728,1.0,0.9956427015250545,0.0,0.5923694779116466,0.812807881773399,1.0,1.0,0.9950980392156863,1.0,0.0,0.0,0.004901960784313708,0.0,0.0,0.2204384038617524,0.056335091161516526,0.9436649088384834,0.722921779037978
-0.19465102955555555,0.5043572984749455,1.0,0.9912854030501089,0.0,0.5943775100401606,0.812807881773399,1.0,1.0,0.9901960784313726,1.0,0.0,0.0,0.009803921568627416,0.0,0.0,0.21843037173323843,0.05705857332546646,0.9429414266745335,0.7236493625747396
-0.1885233895,0.5043572984749455,1.0,0.9912854030501089,0.0,0.5943775100401606,0.812807881773399,1.0,1.0,0.9901960784313726,1.0,0.0,0.0,0.009803921568627416,0.0,0.0,0.21843037173323843,0.05705857332546646,0.9429414266745335,0.7236493625747396
-0.18239574944444445,0.5054466230936819,1.0,0.9891067538126361,0.0,0.5943775100401606,0.812807881773399,1.0,1.0,0.9901960784313726,1.0,0.0,0.0,0.009803921568627416,0.0,0.0,0.21843037173323843,0.05705857332546646,0.9429414266745335,0.7241940248841077
-0.17626810938888887,0.5065359477124183,1.0,0.9869281045751634,0.0,0.5943775100401606,0.8177339901477833,1.0,1.0,0.9901960784313726,0.9736842105263158,0.0,0.0,0.016511867905056765,0.0,0.0,0.22335648010762266,0.059967087003169856,0.9400329129968301,0.7232844303546242
-0.17014046933333332,0.5087145969498911,1.0,0.9825708061002179,0.0,0.5963855421686747,0.8226600985221675,1.0,1.0,0.9852941176470589,0.9473684210526315,0.0,0.0,0.03792569659442735,0.0,0.0,0.2262745563534928,0.06605006323698004,0.93394993676302,0.7213322668564555
-0.16401282927777777,0.5098039215686274,1.0,0.9803921568627451,0.0,0.5963855421686747,0.8275862068965517,1.0,1.0,0.9852941176470589,0.9210526315789473,0.0,0.0,0.06424148606811153,0.0,0.0,0.23120066472787704,0.07386053769899714,0.9261394623010029,0.7179716919348151
-0.15788518922222222,0.5098039215686274,0.9978213507625272,0.9782135076252724,0.002178649237472767,0.5963855421686747,0.8226600985221675,1.0,0.9939393939393939,0.9852941176470589,0.9210526315789473,0.0,0.006060606060606061,0.06424148606811153,0.006060606060606061,0.0060606060606061,0.2262745563534928,0.07565931363570412,0.9243406863642959,0.7170723039664617
-0.15175754916666667,0.5130718954248366,0.9978213507625272,0.971677559912854,0.002178649237472767,0.5983935742971888,0.8226600985221675,1.0,0.9939393939393939,0.9803921568627451,0.9210526315789473,0.0,0.006060606060606061,0.05933952528379771,0.006060606060606061,0.0060606060606061,0.22426652422497872,0.07393181540749715,0.9260681845925028,0.7195700400086698
-0.14562990911111112,0.514161220043573,0.9978213507625272,0.9694989106753813,0.002178649237472767,0.5983935742971888,0.8226600985221675,1.0,0.9939393939393939,0.9803921568627451,0.9210526315789473,0.0,0.006060606060606061,0.05933952528379771,0.006060606060606061,0.0060606060606061,0.22426652422497872,0.07393181540749715,0.9260681845925028,0.7201147023180379
-0.13950226905555557,0.5174291938997821,0.9978213507625272,0.9629629629629629,0.002178649237472767,0.6024096385542169,0.8275862068965517,1.0,0.9939393939393939,0.9705882352941176,0.8947368421052632,0.0,0.006060606060606061,0.07585139318885448,0.006060606060606061,0.0060606060606061,0.2251765683423348,0.07828729341310035,0.9217127065868996,0.719570950243341
-0.133374629,0.5185185185185185,0.9978213507625272,0.9607843137254902,0.002178649237472767,0.6024096385542169,0.8275862068965517,1.0,0.9939393939393939,0.9705882352941176,0.8947368421052632,0.0,0.006060606060606061,0.07585139318885448,0.006060606060606061,0.0060606060606061,0.2251765683423348,0.07828729341310035,0.9217127065868996,0.7201156125527091
-0.12724698894444444,0.5239651416122004,0.9978213507625272,0.9498910675381264,0.002178649237472767,0.608433734939759,0.8325123152709359,1.0,0.9939393939393939,0.9558823529411765,0.868421052631579,0.0,0.006060606060606061,0.08746130030959753,0.006060606060606061,0.0060606060606061,0.2240785803311769,0.08091527319049664,0.9190847268095034,0.7215249342108518
-0.12111934888888888,0.5261437908496732,0.9956427015250545,0.9433551198257081,0.004357298474945534,0.6104417670682731,0.8325123152709359,0.9965986394557823,0.9939393939393939,0.946078431372549,0.868421052631579,0.003401360544217687,0.006060606060606061,0.07765737874097,0.0026592455163883737,0.0026592455163884088,0.2220705482026628,0.0762616044941024,0.9237383955058976,0.7249410931777854
-0.11499170883333332,0.5294117647058824,0.9956427015250545,0.9368191721132898,0.004357298474945534,0.6124497991967871,0.8325123152709359,0.9965986394557823,0.9939393939393939,0.9411764705882353,0.868421052631579,0.003401360544217687,0.006060606060606061,0.0727554179566563,0.0026592455163883737,0.0026592455163884088,0.22006251607414884,0.07453410626589548,0.9254658937341045,0.7274388292199934
