split,threshold,far,frr
train,inf,0.0,1.0
train,0.9894769,0.0,0.9998547988964717
train,0.76694995,0.0,0.9440975751415711
train,0.76679885,0.0001452011035283868,0.9440975751415711
train,0.7301141,0.0001452011035283868,0.8954552054595615
train,0.7300973,0.0002904022070567736,0.8954552054595615
train,0.7099339,0.0002904022070567736,0.8591549295774648
train,0.7099189,0.00043560331058516046,0.8591549295774648
train,0.7008188,0.00043560331058516046,0.8381007695658487
train,0.7008045,0.0005808044141135473,0.8381007695658487
train,0.69869554,0.0005808044141135473,0.8334543342529404
train,0.6986276,0.000726005517641934,0.8334543342529404
train,0.6947176,0.000726005517641934,0.8264846812835778
train,0.6947094,0.0008712066211703209,0.8264846812835778
train,0.6929423,0.0008712066211703209,0.8222738492812546
train,0.6927929,0.0010164077246987077,0.8222738492812546
train,0.692419,0.0010164077246987077,0.8211122404530274
train,0.6919908,0.0013068099317554813,0.8211122404530274
train,0.68416786,0.0013068099317554813,0.8029621025119791
train,0.68415064,0.001452011035283868,0.8029621025119791
train,0.6810813,0.001452011035283868,0.7945404385073327
train,0.6810323,0.001597212138812255,0.7945404385073327
train,0.676097,0.001597212138812255,0.7832147524321185
train,0.67606646,0.0017424132423406419,0.7832147524321185
train,0.6757719,0.0017424132423406419,0.7820531436038913
train,0.6757166,0.0020328154493974154,0.7820531436038913
train,0.6749926,0.0020328154493974154,0.7797299259474372
train,0.67494386,0.0021780165529258024,0.7797299259474372
train,0.6707725,0.0021780165529258024,0.7694206475969217
train,0.67071146,0.002323217656454189,0.7694206475969217
train,0.66690195,0.002323217656454189,0.7589661681428779
train,0.6668868,0.002468418759982576,0.7589661681428779
train,0.66647595,0.002468418759982576,0.7569333526934805
train,0.66646326,0.0026136198635109626,0.7569333526934805
train,0.66616964,0.0026136198635109626,0.7554813416581966
train,0.6661488,0.0027588209670393496,0.7554813416581966
train,0.6658211,0.0027588209670393496,0.7546101350370262
train,0.6657946,0.002904022070567736,0.7546101350370262
train,0.6656477,0.002904022070567736,0.7543197328299696
train,0.66562754,0.003049223174096123,0.7543197328299696
train,0.66524786,0.003049223174096123,0.7535937273123275
train,0.6652332,0.00319442427762451,0.7535937273123275
train,0.6621575,0.00319442427762451,0.7454624655147379
train,0.6621427,0.0033396253811528967,0.7454624655147379
train,0.6616878,0.0033396253811528967,0.7441556555829825
train,0.66158813,0.0034848264846812837,0.7441556555829825
train,0.66010886,0.0034848264846812837,0.7406708290983011
train,0.6599964,0.0036300275882096703,0.7406708290983011
train,0.6595642,0.0036300275882096703,0.7396544213736025
train,0.65952665,0.0037752286917380573,0.7396544213736025
train,0.6583877,0.0037752286917380573,0.7366051981995063
train,0.6583742,0.003920429795266444,0.7366051981995063
train,0.6577496,0.003920429795266444,0.7354435893712792
train,0.6577106,0.004065630898794831,0.7354435893712792
train,0.6551753,0.004065630898794831,0.7287643386089735
train,0.6551217,0.004210832002323217,0.7287643386089735
train,0.6525553,0.004210832002323217,0.7220850878466676
train,0.6524332,0.004356033105851605,0.7220850878466676
train,0.6520653,0.004356033105851605,0.721068680121969
train,0.6520497,0.0045012342093799914,0.721068680121969
train,0.65192616,0.0045012342093799914,0.7204878757078554
train,0.6519097,0.004646435312908378,0.7204878757078554
train,0.65167874,0.004646435312908378,0.7199070712937419
train,0.65165466,0.004791636416436765,0.7199070712937419
train,0.6513555,0.004791636416436765,0.7190358646725715
train,0.65134484,0.004936837519965152,0.7190358646725715
train,0.6512553,0.004936837519965152,0.7188906635690431
train,0.65117675,0.005082038623493539,0.7188906635690431
train,0.64890677,0.005082038623493539,0.712792217220851
train,0.648898,0.005227239727021925,0.712792217220851
train,0.6462384,0.005227239727021925,0.7046609554232612
train,0.64620596,0.005372440830550313,0.7046609554232612
train,0.6461841,0.005372440830550313,0.7045157543197329
train,0.6461492,0.005517641934078699,0.7045157543197329
train,0.64531726,0.005517641934078699,0.7029185421809205
train,0.6453042,0.005662843037607086,0.7029185421809205
train,0.6452962,0.005662843037607086,0.7027733410773922
train,0.6451597,0.005808044141135472,0.7027733410773922
train,0.6440384,0.005808044141135472,0.6981269057644839
train,0.64402914,0.00595324524466386,0.6981269057644839
train,0.64285994,0.00595324524466386,0.6946420792798025
train,0.6428427,0.006098446348192246,0.6946420792798025
train,0.6420246,0.006098446348192246,0.6915928561057064
train,0.6419503,0.006243647451720633,0.6915928561057064
train,0.64193374,0.006243647451720633,0.691447655002178
train,0.6419233,0.00638884855524902,0.691447655002178
train,0.63999534,0.00638884855524902,0.6859300130680993
train,0.6397819,0.006534049658777407,0.6859300130680993
train,0.6376497,0.006534049658777407,0.680557572237549
