split,accuracy,precision,recall,f1_score,far,frr,fmr,fnmr,tar,tnr,eer,eer_threshold,total_pairs,genuine_pairs,impostor_pairs
train,0.7826339480180049,0.7826339480180049,0.7826339480180049,0.7826339480180049,0.21736605198199507,0.21736605198199507,0.21736605198199507,0.21736605198199507,0.7826339480180049,0.7826339480180049,0.2173660519819951,0.46398517,13774,6887,6887
validation,0.7767615176151762,0.7769491525423728,0.7764227642276422,0.7766858691968823,0.22289972899728996,0.22357723577235772,0.22289972899728996,0.22357723577235772,0.7764227642276422,0.7771002710027101,0.22289972899729008,0.46302673,2952,1476,1476
test,0.7947154471544715,0.7947154471544715,0.7947154471544715,0.7947154471544714,0.20528455284552846,0.20528455284552846,0.20528455284552846,0.20528455284552846,0.7947154471544715,0.7947154471544715,0.2052845528455285,0.46196073,2952,1476,1476
