split,accuracy,precision,recall,f1_score,far,frr,fmr,fnmr,tar,tnr,eer,eer_threshold,total_pairs,genuine_pairs,impostor_pairs
train,0.808189342239001,0.808189342239001,0.808189342239001,0.808189342239001,0.19181065776099898,0.19181065776099898,0.19181065776099898,0.19181065776099898,0.808189342239001,0.808189342239001,0.191810657760999,0.39709404,13774,6887,6887
validation,0.809620596205962,0.809620596205962,0.809620596205962,0.809620596205962,0.19037940379403795,0.19037940379403795,0.19037940379403795,0.19037940379403795,0.809620596205962,0.809620596205962,0.19037940379403795,0.38967675,2952,1476,1476
test,0.8228319783197832,0.8230508474576271,0.8224932249322493,0.822771941714673,0.17682926829268292,0.17750677506775067,0.17682926829268292,0.17750677506775067,0.8224932249322493,0.823170731707317,0.1775067750677507,0.40245933666666667,2952,1476,1476
