split,accuracy,precision,recall,f1_score,far,frr,fmr,fnmr,tar,tnr,eer,eer_threshold,total_pairs,genuine_pairs,impostor_pairs
train,0.8970588235294118,0.8972442783745913,0.8968253968253969,0.8970347886995097,0.10270774976657329,0.10317460317460317,0.10270774976657329,0.10317460317460317,0.8968253968253969,0.8972922502334267,0.1027077497665733,0.45402247000000007,4284,2142,2142
validation,0.9074074074074074,0.9082969432314411,0.906318082788671,0.9073064340239911,0.0915032679738562,0.09368191721132897,0.0915032679738562,0.09368191721132897,0.906318082788671,0.9084967320261438,0.09368191721132904,0.47162424999999997,918,459,459
test,0.9052287581699346,0.9061135371179039,0.9041394335511983,0.9051254089422028,0.09368191721132897,0.09586056644880174,0.09368191721132897,0.09586056644880174,0.9041394335511983,0.906318082788671,0.0958605664488017,0.478845255,918,459,459
