attribute,group_value,sample_size,genuine_pairs,impostor_pairs,excluded,exclusion_reason,accuracy,precision,recall,f1_score,far,frr,fmr,fnmr,tar,tnr,eer,eer_threshold
group,asian,918,459,459,False,,0.9052287581699346,0.9061135371179039,0.9041394335511983,0.9051254089422028,0.09368191721132897,0.09586056644880174,0.09368191721132897,0.09586056644880174,0.9041394335511983,0.906318082788671,0.0958605664488017,0.478845255
gender,females,498,294,204,False,,0.8654618473895582,0.8795986622073578,0.8945578231292517,0.8870151770657673,0.17647058823529413,0.1054421768707483,0.17647058823529413,0.1054421768707483,0.8945578231292517,0.8235294117647058,0.13605442176870758,0.5036620328571428
gender,males,203,165,38,False,,0.9113300492610837,0.9681528662420382,0.9212121212121213,0.9440993788819876,0.13157894736842105,0.07878787878787878,0.13157894736842105,0.07878787878787878,0.9212121212121213,0.868421052631579,0.10303030303030296,0.49528621418181823
