split,threshold,far,frr,tar,tnr
train,inf,0.0,1.0,0.0,1.0
train,0.9173917,0.0,0.9995331465919701,0.00046685340802987864,1.0
train,0.39048204,0.0,0.4995331465919701,0.5004668534080299,1.0
train,0.39021438,0.00046685340802987864,0.4995331465919701,0.5004668534080299,0.9995331465919701
train,0.33350593,0.00046685340802987864,0.3893557422969187,0.6106442577030813,0.9995331465919701
train,0.33333075,0.0009337068160597573,0.3893557422969187,0.6106442577030813,0.9990662931839402
train,0.33106342,0.0009337068160597573,0.38468720821661995,0.61531279178338,0.9990662931839402
train,0.33097568,0.0014005602240896359,0.38468720821661995,0.61531279178338,0.9985994397759104
train,0.3262733,0.0014005602240896359,0.3800186741363212,0.6199813258636788,0.9985994397759104
train,0.32619366,0.0018674136321195146,0.3800186741363212,0.6199813258636788,0.9981325863678805
train,0.32417285,0.0018674136321195146,0.3772175536881419,0.6227824463118581,0.9981325863678805
train,0.3241238,0.002334267040149393,0.3772175536881419,0.6227824463118581,0.9976657329598506
train,0.32155135,0.002334267040149393,0.37254901960784315,0.6274509803921569,0.9976657329598506
train,0.32104537,0.0028011204481792717,0.37254901960784315,0.6274509803921569,0.9971988795518207
train,0.3197137,0.0028011204481792717,0.36881419234360413,0.6311858076563959,0.9971988795518207
train,0.31875965,0.0032679738562091504,0.36881419234360413,0.6311858076563959,0.9967320261437909
train,0.31467116,0.0032679738562091504,0.361811391223156,0.638188608776844,0.9967320261437909
train,0.31430373,0.003734827264239029,0.361811391223156,0.638188608776844,0.996265172735761
train,0.31136498,0.003734827264239029,0.3552754435107376,0.6447245564892624,0.996265172735761
train,0.31125292,0.004201680672268907,0.3552754435107376,0.6447245564892624,0.9957983193277311
train,0.30915746,0.004201680672268907,0.3534080298786181,0.6465919701213819,0.9957983193277311
train,0.30877516,0.004668534080298786,0.3534080298786181,0.6465919701213819,0.9953314659197012
train,0.30251926,0.004668534080298786,0.34360410830999066,0.6563958916900093,0.9953314659197012
train,0.3024425,0.005135387488328665,0.34360410830999066,0.6563958916900093,0.9948646125116714
train,0.29735085,0.005135387488328665,0.33006535947712423,0.6699346405228758,0.9948646125116714
train,0.29696682,0.0056022408963585435,0.33006535947712423,0.6699346405228758,0.9943977591036415
train,0.2930122,0.0056022408963585435,0.3244631185807656,0.6755368814192344,0.9943977591036415
train,0.2927354,0.006069094304388422,0.3244631185807656,0.6755368814192344,0.9939309056956116
train,0.2878499,0.006069094304388422,0.31512605042016806,0.6848739495798319,0.9939309056956116
train,0.2877054,0.0070028011204481795,0.31512605042016806,0.6848739495798319,0.9929971988795518
train,0.28351608,0.0070028011204481795,0.3062558356676004,0.6937441643323996,0.9929971988795518
train,0.28312284,0.007469654528478058,0.3062558356676004,0.6937441643323996,0.992530345471522
train,0.28148568,0.007469654528478058,0.30532212885154064,0.6946778711484594,0.992530345471522
train,0.28025287,0.007936507936507936,0.30532212885154064,0.6946778711484594,0.9920634920634921
train,0.26972303,0.007936507936507936,0.2875816993464052,0.7124183006535948,0.9920634920634921
train,0.26928917,0.008403361344537815,0.2875816993464052,0.7124183006535948,0.9915966386554622
train,0.26746777,0.008403361344537815,0.28291316526610644,0.7170868347338936,0.9915966386554622
train,0.26726317,0.008870214752567693,0.28291316526610644,0.7170868347338936,0.9911297852474323
train,0.26211858,0.008870214752567693,0.2740429505135388,0.7259570494864612,0.9911297852474323
train,0.2620779,0.009337068160597572,0.2740429505135388,0.7259570494864612,0.9906629318394025
train,0.26137784,0.009337068160597572,0.2735760971055089,0.7264239028944911,0.9906629318394025
train,0.26107898,0.00980392156862745,0.2735760971055089,0.7264239028944911,0.9901960784313726
train,0.25723356,0.00980392156862745,0.2679738562091504,0.7320261437908496,0.9901960784313726
train,0.25597712,0.010737628384687208,0.2679738562091504,0.7320261437908496,0.9892623716153128
train,0.25424445,0.010737628384687208,0.2647058823529411,0.7352941176470589,0.9892623716153128
train,0.2538357,0.011204481792717087,0.2647058823529411,0.7352941176470589,0.988795518207283
train,0.2501847,0.011204481792717087,0.261437908496732,0.738562091503268,0.988795518207283
train,0.24894659,0.011671335200746966,0.261437908496732,0.738562091503268,0.9883286647992531
