split,accuracy,precision,recall,f1_score,far,frr,fmr,fnmr,tar,tnr,eer,eer_threshold,total_pairs,genuine_pairs,impostor_pairs
train,0.8748832866479925,0.8748832866479925,0.8748832866479925,0.8748832866479925,0.12511671335200747,0.12511671335200747,0.12511671335200747,0.12511671335200747,0.8748832866479925,0.8748832866479925,0.12511671335200747,0.12714374,4284,2142,2142
validation,0.8921568627450981,0.8930131004366813,0.8910675381263616,0.8920392584514724,0.10675381263616558,0.10893246187363835,0.10675381263616558,0.10893246187363835,0.8910675381263616,0.8932461873638344,0.10893246187363836,0.13392433599999998,918,459,459
test,0.8867102396514162,0.8867102396514162,0.8867102396514162,0.8867102396514162,0.11328976034858387,0.11328976034858387,0.11328976034858387,0.11328976034858387,0.8867102396514162,0.8867102396514162,0.11328976034858386,0.13973102,918,459,459
