attribute,group_value,sample_size,genuine_pairs,impostor_pairs,excluded,exclusion_reason,accuracy,precision,recall,f1_score,far,frr,fmr,fnmr,tar,tnr,eer,eer_threshold
group,asian,918,459,459,False,,0.8867102396514162,0.8867102396514162,0.8867102396514162,0.8867102396514162,0.11328976034858387,0.11328976034858387,0.11328976034858387,0.11328976034858387,0.8867102396514162,0.8867102396514162,0.11328976034858386,0.13973102
gender,females,498,294,204,False,,0.8714859437751004,0.891156462585034,0.891156462585034,0.891156462585034,0.1568627450980392,0.10884353741496598,0.1568627450980392,0.10884353741496598,0.891156462585034,0.8431372549019608,0.12585034013605445,0.15419804969387754
gender,males,203,165,38,False,,0.8669950738916257,0.9539473684210527,0.8787878787878788,0.9148264984227129,0.18421052631578946,0.12121212121212122,0.18421052631578946,0.12121212121212122,0.8787878787878788,0.8157894736842105,0.13157894736842105,0.16155498657894737
