split,threshold,fpr,tpr
train,inf,0.0,0.0
train,0.91031677,0.0,0.00046685340802987864
train,0.4391135,0.0,0.21895424836601307
train,0.43876293,0.00046685340802987864,0.21895424836601307
train,0.40774783,0.00046685340802987864,0.28478057889822594
train,0.40750197,0.0009337068160597573,0.28478057889822594
train,0.40222272,0.0009337068160597573,0.2964519140989729
train,0.4021252,0.0018674136321195146,0.2964519140989729
train,0.37881616,0.0018674136321195146,0.34967320261437906
train,0.37870532,0.002334267040149393,0.34967320261437906
train,0.3182151,0.002334267040149393,0.46872082166199813
train,0.31820533,0.0028011204481792717,0.46872082166199813
train,0.31140748,0.0028011204481792717,0.4850606909430439
train,0.31139502,0.0032679738562091504,0.4850606909430439
train,0.30869713,0.0032679738562091504,0.49159663865546216
train,0.30864584,0.003734827264239029,0.49159663865546216
train,0.29647636,0.003734827264239029,0.5210084033613446
train,0.29643494,0.004201680672268907,0.5210084033613446
train,0.2959192,0.004201680672268907,0.5228758169934641
train,0.29564515,0.004668534080298786,0.5228758169934641
train,0.2951534,0.004668534080298786,0.5238095238095238
train,0.29512438,0.005135387488328665,0.5238095238095238
train,0.28325522,0.005135387488328665,0.5504201680672269
train,0.28257,0.0056022408963585435,0.5504201680672269
train,0.28182408,0.0056022408963585435,0.5522875816993464
train,0.2818206,0.006069094304388422,0.5522875816993464
train,0.2812319,0.006069094304388422,0.5536881419234361
train,0.2808096,0.006535947712418301,0.5536881419234361
train,0.28027806,0.006535947712418301,0.5550887021475257
train,0.28027713,0.0070028011204481795,0.5550887021475257
train,0.27919832,0.0070028011204481795,0.5583566760037348
train,0.2791041,0.007469654528478058,0.5583566760037348
train,0.27648467,0.007469654528478058,0.5672268907563025
train,0.27640483,0.007936507936507936,0.5672268907563025
train,0.27382988,0.007936507936507936,0.572829131652661
train,0.2737284,0.008403361344537815,0.572829131652661
train,0.2731834,0.008403361344537815,0.5737628384687208
train,0.27315345,0.008870214752567693,0.5737628384687208
train,0.2724799,0.008870214752567693,0.5751633986928104
train,0.27217913,0.009337068160597572,0.5751633986928104
train,0.27058235,0.009337068160597572,0.5802987861811392
train,0.27039537,0.00980392156862745,0.5802987861811392
train,0.26793554,0.00980392156862745,0.5859010270774977
train,0.2674825,0.01027077497665733,0.5859010270774977
train,0.26439396,0.01027077497665733,0.5915032679738562
train,0.26437443,0.010737628384687208,0.5915032679738562
train,0.26198387,0.010737628384687208,0.5966386554621849
train,0.26185417,0.011204481792717087,0.5966386554621849
train,0.2599335,0.011204481792717087,0.6017740429505135
train,0.25987804,0.011671335200746966,0.6017740429505135
train,0.25945675,0.011671335200746966,0.6031746031746031
train,0.25892618,0.012138188608776844,0.6031746031746031
train,0.25699258,0.012138188608776844,0.6050420168067226
train,0.2569508,0.012605042016806723,0.6050420168067226
train,0.25600863,0.012605042016806723,0.607376283846872
train,0.2553997,0.01353874883286648,0.607376283846872
train,0.2528301,0.01353874883286648,0.6120448179271709
train,0.25242627,0.014005602240896359,0.6120448179271709
train,0.25189564,0.014005602240896359,0.6139122315592904
train,0.25097796,0.014939309056956116,0.6139122315592904
train,0.25088307,0.014939309056956116,0.6148459383753502
train,0.25077274,0.015406162464985995,0.6148459383753502
train,0.24850087,0.015406162464985995,0.6209150326797386
train,0.2481016,0.015873015873015872,0.6209150326797386
train,0.24725121,0.015873015873015872,0.623249299719888
train,0.24724002,0.016339869281045753,0.623249299719888
train,0.24662682,0.016339869281045753,0.6246498599439776
train,0.2461466,0.017740429505135387,0.6246498599439776
train,0.24504524,0.017740429505135387,0.626984126984127
train,0.24490994,0.018207282913165267,0.626984126984127
train,0.23910864,0.018207282913165267,0.6428571428571429
train,0.2390645,0.018674136321195144,0.6428571428571429
train,0.23840497,0.018674136321195144,0.6437908496732027
train,0.23779523,0.0196078431372549,0.6437908496732027
train,0.23673677,0.0196078431372549,0.646125116713352
train,0.23673639,0.020074696545284782,0.646125116713352
train,0.23619235,0.020074696545284782,0.6475256769374417
train,0.23554084,0.02054154995331466,0.6475256769374417
train,0.2350946,0.02054154995331466,0.6479925303454716
train,0.2348448,0.021475256769374416,0.6479925303454716
train,0.23482312,0.021475256769374416,0.6484593837535014
train,0.23481852,0.021942110177404293,0.6484593837535014
train,0.2347925,0.021942110177404293,0.6489262371615313
train,0.23460796,0.022408963585434174,0.6489262371615313
train,0.23306856,0.022408963585434174,0.6512605042016807
train,0.23293786,0.02287581699346405,0.6512605042016807
train,0.23255691,0.02287581699346405,0.6526610644257703
train,0.23214985,0.02334267040149393,0.6526610644257703
train,0.2312989,0.02334267040149393,0.6545284780578898
train,0.23073833,0.023809523809523808,0.6545284780578898
train,0.22997318,0.023809523809523808,0.6573295985060691
train,0.22993755,0.02427637721755369,0.6573295985060691
train,0.22897689,0.02427637721755369,0.6601307189542484
train,0.22875077,0.024743230625583566,0.6601307189542484
train,0.22700195,0.024743230625583566,0.6633986928104575
train,0.22700141,0.025210084033613446,0.6633986928104575
train,0.22462046,0.025210084033613446,0.6676003734827264
train,0.22394674,0.026143790849673203,0.6676003734827264
train,0.22385454,0.026143790849673203,0.6680672268907563
train,0.22372612,0.02661064425770308,0.6680672268907563
train,0.22246818,0.02661064425770308,0.6722689075630253
train,0.22239698,0.02707749766573296,0.6722689075630253
train,0.22151583,0.02707749766573296,0.6755368814192344
train,0.22136311,0.027544351073762838,0.6755368814192344
train,0.21879025,0.027544351073762838,0.6816059757236228
train,0.21836443,0.028478057889822595,0.6816059757236228
train,0.21629271,0.028478057889822595,0.6881419234360411
train,0.21548451,0.029878618113912233,0.6881419234360411
train,0.21545428,0.029878618113912233,0.688608776844071
train,0.21539687,0.03034547152194211,0.688608776844071
train,0.21535918,0.03034547152194211,0.6895424836601307
train,0.2149977,0.03221288515406162,0.6895424836601307
train,0.21472795,0.03221288515406162,0.6904761904761905
train,0.21469308,0.032679738562091505,0.6904761904761905
train,0.2139894,0.032679738562091505,0.6918767507002801
train,0.21370733,0.03314659197012138,0.6918767507002801
train,0.21356435,0.03314659197012138,0.6932773109243697
train,0.21334669,0.03361344537815126,0.6932773109243697
train,0.21307307,0.03361344537815126,0.6942110177404295
train,0.21288866,0.034080298786181136,0.6942110177404295
train,0.21285465,0.034080298786181136,0.6946778711484594
train,0.21250138,0.035480859010270774,0.6946778711484594
train,0.21092159,0.035480859010270774,0.6979458450046685
train,0.21067098,0.03594771241830065,0.6979458450046685
train,0.20990275,0.03594771241830065,0.699813258636788
train,0.20984869,0.036414565826330535,0.699813258636788
train,0.209834,0.036414565826330535,0.7007469654528478
train,0.20968434,0.037815126050420166,0.7007469654528478
train,0.20961231,0.037815126050420166,0.7012138188608776
train,0.2095997,0.03828197945845005,0.7012138188608776
train,0.20942645,0.03828197945845005,0.7026143790849673
train,0.20922767,0.0392156862745098,0.7026143790849673
train,0.208694,0.0392156862745098,0.7049486461251168
train,0.20859887,0.03968253968253968,0.7049486461251168
train,0.2085729,0.03968253968253968,0.7058823529411765
train,0.20829739,0.04061624649859944,0.7058823529411765
train,0.20823663,0.04061624649859944,0.7063492063492064
train,0.20762908,0.04108309990662932,0.7063492063492064
train,0.20658492,0.04108309990662932,0.7091503267973857
train,0.20642097,0.041549953314659195,0.7091503267973857
train,0.20594132,0.041549953314659195,0.7100840336134454
train,0.20576285,0.04201680672268908,0.7100840336134454
train,0.20341045,0.04201680672268908,0.7147525676937442
train,0.2033177,0.042483660130718956,0.7147525676937442
train,0.2025996,0.042483660130718956,0.7170868347338936
train,0.20249891,0.04295051353874883,0.7170868347338936
train,0.20212996,0.04295051353874883,0.7175536881419234
train,0.20192178,0.04341736694677871,0.7175536881419234
train,0.2012081,0.04341736694677871,0.719421101774043
train,0.20060971,0.04435107376283847,0.719421101774043
train,0.19871956,0.04435107376283847,0.7222222222222222
train,0.19849868,0.04481792717086835,0.7222222222222222
train,0.19711442,0.04481792717086835,0.7250233426704015
train,0.19665441,0.046218487394957986,0.7250233426704015
train,0.19591327,0.046218487394957986,0.726890756302521
train,0.1954034,0.04715219421101774,0.726890756302521
train,0.19513032,0.04715219421101774,0.7273576097105509
train,0.19485834,0.04855275443510738,0.7273576097105509
train,0.19458365,0.04855275443510738,0.7292250233426704
train,0.194158,0.049019607843137254,0.7292250233426704
train,0.19408475,0.049019607843137254,0.7301587301587301
train,0.19399054,0.04948646125116713,0.7301587301587301
train,0.19287653,0.04948646125116713,0.7315592903828197
train,0.19271968,0.049953314659197015,0.7315592903828197
train,0.19270203,0.049953314659197015,0.7320261437908496
train,0.19057205,0.05228758169934641,0.7320261437908496
train,0.18976758,0.05228758169934641,0.7329598506069094
train,0.18936208,0.052754435107376284,0.7329598506069094
train,0.18889283,0.052754435107376284,0.734827264239029
train,0.18813965,0.05368814192343604,0.734827264239029
train,0.18772149,0.05368814192343604,0.7357609710550888
train,0.1874776,0.055088702147525676,0.7357609710550888
train,0.18738134,0.055088702147525676,0.7362278244631186
train,0.1871423,0.05555555555555555,0.7362278244631186
train,0.1860621,0.05555555555555555,0.7380952380952381
train,0.18603085,0.056022408963585436,0.7380952380952381
train,0.18585661,0.056022408963585436,0.738562091503268
train,0.18574207,0.05695611577964519,0.738562091503268
train,0.18542106,0.05695611577964519,0.7390289449112979
train,0.18537316,0.05742296918767507,0.7390289449112979
train,0.1841061,0.05742296918767507,0.742296918767507
train,0.18391487,0.05788982259570495,0.742296918767507
train,0.18285377,0.05788982259570495,0.7446311858076564
train,0.18200044,0.05929038281979458,0.7446311858076564
train,0.18196325,0.05929038281979458,0.7450980392156863
train,0.18171164,0.06162464985994398,0.7450980392156863
train,0.18144411,0.06162464985994398,0.746031746031746
train,0.1812878,0.06209150326797386,0.746031746031746
train,0.18113948,0.06209150326797386,0.7464985994397759
train,0.18069625,0.06302521008403361,0.7464985994397759
train,0.18060648,0.06302521008403361,0.7469654528478058
train,0.1804773,0.06349206349206349,0.7469654528478058
train,0.18038563,0.06349206349206349,0.7474323062558357
train,0.18009642,0.06442577030812324,0.7474323062558357
train,0.17988545,0.06442577030812324,0.7488328664799253
train,0.1797576,0.06489262371615313,0.7488328664799253
train,0.17945033,0.06489262371615313,0.7502334267040149
train,0.17929257,0.06535947712418301,0.7502334267040149
train,0.17908126,0.06535947712418301,0.7516339869281046
train,0.17900503,0.06582633053221289,0.7516339869281046
train,0.17865825,0.06582633053221289,0.7535014005602241
train,0.17834117,0.06629318394024276,0.7535014005602241
train,0.1776654,0.06629318394024276,0.753968253968254
train,0.17736688,0.0676937441643324,0.753968253968254
train,0.17733866,0.0676937441643324,0.7544351073762838
train,0.1769323,0.06816059757236227,0.7544351073762838
train,0.17688145,0.06816059757236227,0.7553688141923436
train,0.17609337,0.06956115779645192,0.7553688141923436
train,0.17600428,0.06956115779645192,0.7558356676003735
train,0.1759447,0.0700280112044818,0.7558356676003735
train,0.17554073,0.0700280112044818,0.7581699346405228
train,0.17547773,0.07049486461251167,0.7581699346405228
train,0.17537457,0.07049486461251167,0.7591036414565826
train,0.17536959,0.07096171802054155,0.7591036414565826
train,0.17525928,0.07096171802054155,0.7595704948646125
train,0.17509265,0.0718954248366013,0.7595704948646125
train,0.17503797,0.0718954248366013,0.7600373482726424
train,0.1750142,0.07236227824463119,0.7600373482726424
train,0.1748343,0.07236227824463119,0.7605042016806722
train,0.17444605,0.07376283846872082,0.7605042016806722
train,0.17419007,0.07376283846872082,0.761437908496732
train,0.17418692,0.0742296918767507,0.761437908496732
train,0.17387307,0.0742296918767507,0.7619047619047619
train,0.17362517,0.07609710550887021,0.7619047619047619
train,0.17360818,0.07609710550887021,0.7623716153127917
train,0.17346065,0.07703081232492998,0.7623716153127917
train,0.17318182,0.07703081232492998,0.7633053221288515
train,0.1730523,0.07749766573295985,0.7633053221288515
train,0.17296758,0.07749766573295985,0.7637721755368814
train,0.17273486,0.07889822595704948,0.7637721755368814
train,0.17260553,0.07889822595704948,0.7642390289449112
train,0.17248271,0.07936507936507936,0.7642390289449112
train,0.17238139,0.07936507936507936,0.765172735760971
train,0.17232823,0.07983193277310924,0.765172735760971
train,0.17170484,0.07983193277310924,0.765639589169001
train,0.17148092,0.08169934640522876,0.765639589169001
train,0.17123607,0.08169934640522876,0.7665732959850607
train,0.17111707,0.08216619981325864,0.7665732959850607
train,0.17028663,0.08216619981325864,0.7675070028011205
train,0.17015916,0.08263305322128851,0.7675070028011205
train,0.16997202,0.08263305322128851,0.7679738562091504
train,0.16996896,0.08309990662931839,0.7679738562091504
train,0.16923338,0.08309990662931839,0.7689075630252101
train,0.1691253,0.08356676003734827,0.7689075630252101
train,0.168446,0.08356676003734827,0.7703081232492998
train,0.16824913,0.08496732026143791,0.7703081232492998
train,0.16795702,0.08496732026143791,0.7707749766573296
train,0.16771507,0.08543417366946779,0.7707749766573296
train,0.16768801,0.08543417366946779,0.7717086834733894
