attribute,group_value,sample_size,genuine_pairs,impostor_pairs,excluded,exclusion_reason,accuracy,precision,recall,f1_score,far,frr,fmr,fnmr,tar,tnr,eer,eer_threshold
group,asian,918,459,459,False,,0.8583877995642701,0.8583877995642701,0.8583877995642701,0.8583877995642701,0.14161220043572983,0.14161220043572983,0.14161220043572983,0.14161220043572983,0.8583877995642701,0.8583877995642701,0.14161220043572986,0.13338274
gender,females,498,294,204,False,,0.8253012048192772,0.8508474576271187,0.8537414965986394,0.8522920203735144,0.21568627450980393,0.14625850340136054,0.21568627450980393,0.14625850340136054,0.8537414965986394,0.7843137254901961,0.16666666666666666,0.15044034333333337
gender,males,203,165,38,False,,0.8571428571428571,0.9533333333333334,0.8666666666666667,0.907936507936508,0.18421052631578946,0.13333333333333333,0.18421052631578946,0.13333333333333333,0.8666666666666667,0.8157894736842105,0.15789473684210525,0.14289715578947368
