split,accuracy,precision,recall,f1_score,far,frr,fmr,fnmr,tar,tnr,eer,eer_threshold,total_pairs,genuine_pairs,impostor_pairs
train,0.8295985060690944,0.8295985060690944,0.8295985060690944,0.8295985060690944,0.1704014939309057,0.1704014939309057,0.1704014939309057,0.1704014939309057,0.8295985060690944,0.8295985060690944,0.17040149393090567,0.12983228,4284,2142,2142
validation,0.8474945533769063,0.8474945533769063,0.8474945533769063,0.8474945533769063,0.15250544662309368,0.15250544662309368,0.15250544662309368,0.15250544662309368,0.8474945533769063,0.8474945533769063,0.15250544662309373,0.13315620999999997,918,459,459
test,0.8583877995642701,0.8583877995642701,0.8583877995642701,0.8583877995642701,0.14161220043572983,0.14161220043572983,0.14161220043572983,0.14161220043572983,0.8583877995642701,0.8583877995642701,0.14161220043572986,0.13338274,918,459,459
