split,threshold,far,frr
train,inf,0.0,1.0
train,0.91031677,0.0,0.9995331465919701
train,0.4391135,0.0,0.7810457516339869
train,0.43876293,0.00046685340802987864,0.7810457516339869
train,0.40774783,0.00046685340802987864,0.715219421101774
train,0.40750197,0.0009337068160597573,0.715219421101774
train,0.40222272,0.0009337068160597573,0.703548085901027
train,0.4021252,0.0018674136321195146,0.703548085901027
train,0.37881616,0.0018674136321195146,0.6503267973856209
train,0.37870532,0.002334267040149393,0.6503267973856209
train,0.3182151,0.002334267040149393,0.5312791783380019
train,0.31820533,0.0028011204481792717,0.5312791783380019
train,0.31140748,0.0028011204481792717,0.5149393090569561
train,0.31139502,0.0032679738562091504,0.5149393090569561
train,0.30869713,0.0032679738562091504,0.5084033613445378
train,0.30864584,0.003734827264239029,0.5084033613445378
train,0.29647636,0.003734827264239029,0.4789915966386554
train,0.29643494,0.004201680672268907,0.4789915966386554
train,0.2959192,0.004201680672268907,0.4771241830065359
train,0.29564515,0.004668534080298786,0.4771241830065359
train,0.2951534,0.004668534080298786,0.47619047619047616
train,0.29512438,0.005135387488328665,0.47619047619047616
train,0.28325522,0.005135387488328665,0.44957983193277307
train,0.28257,0.0056022408963585435,0.44957983193277307
train,0.28182408,0.0056022408963585435,0.44771241830065356
train,0.2818206,0.006069094304388422,0.44771241830065356
train,0.2812319,0.006069094304388422,0.4463118580765639
train,0.2808096,0.006535947712418301,0.4463118580765639
train,0.28027806,0.006535947712418301,0.4449112978524743
train,0.28027713,0.0070028011204481795,0.4449112978524743
train,0.27919832,0.0070028011204481795,0.44164332399626516
train,0.2791041,0.007469654528478058,0.44164332399626516
train,0.27648467,0.007469654528478058,0.4327731092436975
train,0.27640483,0.007936507936507936,0.4327731092436975
train,0.27382988,0.007936507936507936,0.427170868347339
train,0.2737284,0.008403361344537815,0.427170868347339
train,0.2731834,0.008403361344537815,0.4262371615312792
train,0.27315345,0.008870214752567693,0.4262371615312792
train,0.2724799,0.008870214752567693,0.4248366013071896
train,0.27217913,0.009337068160597572,0.4248366013071896
train,0.27058235,0.009337068160597572,0.41970121381886083
train,0.27039537,0.00980392156862745,0.41970121381886083
train,0.26793554,0.00980392156862745,0.4140989729225023
train,0.2674825,0.01027077497665733,0.4140989729225023
train,0.26439396,0.01027077497665733,0.4084967320261438
train,0.26437443,0.010737628384687208,0.4084967320261438
train,0.26198387,0.010737628384687208,0.40336134453781514
train,0.26185417,0.011204481792717087,0.40336134453781514
train,0.2599335,0.011204481792717087,0.3982259570494865
train,0.25987804,0.011671335200746966,0.3982259570494865
train,0.25945675,0.011671335200746966,0.39682539682539686
train,0.25892618,0.012138188608776844,0.39682539682539686
train,0.25699258,0.012138188608776844,0.39495798319327735
train,0.2569508,0.012605042016806723,0.39495798319327735
train,0.25600863,0.012605042016806723,0.39262371615312797
train,0.2553997,0.01353874883286648,0.39262371615312797
train,0.2528301,0.01353874883286648,0.3879551820728291
train,0.25242627,0.014005602240896359,0.3879551820728291
train,0.25189564,0.014005602240896359,0.3860877684407096
train,0.25097796,0.014939309056956116,0.3860877684407096
train,0.25088307,0.014939309056956116,0.3851540616246498
train,0.25077274,0.015406162464985995,0.3851540616246498
train,0.24850087,0.015406162464985995,0.3790849673202614
train,0.2481016,0.015873015873015872,0.3790849673202614
train,0.24725121,0.015873015873015872,0.37675070028011204
train,0.24724002,0.016339869281045753,0.37675070028011204
train,0.24662682,0.016339869281045753,0.3753501400560224
train,0.2461466,0.017740429505135387,0.3753501400560224
train,0.24504524,0.017740429505135387,0.373015873015873
train,0.24490994,0.018207282913165267,0.373015873015873
train,0.23910864,0.018207282913165267,0.3571428571428571
train,0.2390645,0.018674136321195144,0.3571428571428571
train,0.23840497,0.018674136321195144,0.35620915032679734
train,0.23779523,0.0196078431372549,0.35620915032679734
train,0.23673677,0.0196078431372549,0.35387488328664796
train,0.23673639,0.020074696545284782,0.35387488328664796
train,0.23619235,0.020074696545284782,0.3524743230625583
train,0.23554084,0.02054154995331466,0.3524743230625583
train,0.2350946,0.02054154995331466,0.35200746965452845
train,0.2348448,0.021475256769374416,0.35200746965452845
train,0.23482312,0.021475256769374416,0.35154061624649857
train,0.23481852,0.021942110177404293,0.35154061624649857
train,0.2347925,0.021942110177404293,0.3510737628384687
train,0.23460796,0.022408963585434174,0.3510737628384687
train,0.23306856,0.022408963585434174,0.3487394957983193
train,0.23293786,0.02287581699346405,0.3487394957983193
train,0.23255691,0.02287581699346405,0.3473389355742297
train,0.23214985,0.02334267040149393,0.3473389355742297
train,0.2312989,0.02334267040149393,0.34547152194211017
train,0.23073833,0.023809523809523808,0.34547152194211017
train,0.22997318,0.023809523809523808,0.3426704014939309
train,0.22993755,0.02427637721755369,0.3426704014939309
train,0.22897689,0.02427637721755369,0.33986928104575165
train,0.22875077,0.024743230625583566,0.33986928104575165
train,0.22700195,0.024743230625583566,0.3366013071895425
train,0.22700141,0.025210084033613446,0.3366013071895425
train,0.22462046,0.025210084033613446,0.3323996265172736
train,0.22394674,0.026143790849673203,0.3323996265172736
train,0.22385454,0.026143790849673203,0.33193277310924374
train,0.22372612,0.02661064425770308,0.33193277310924374
train,0.22246818,0.02661064425770308,0.32773109243697474
train,0.22239698,0.02707749766573296,0.32773109243697474
train,0.22151583,0.02707749766573296,0.3244631185807656
train,0.22136311,0.027544351073762838,0.3244631185807656
train,0.21879025,0.027544351073762838,0.3183940242763772
train,0.21836443,0.028478057889822595,0.3183940242763772
train,0.21629271,0.028478057889822595,0.3118580765639589
train,0.21548451,0.029878618113912233,0.3118580765639589
train,0.21545428,0.029878618113912233,0.31139122315592904
train,0.21539687,0.03034547152194211,0.31139122315592904
train,0.21535918,0.03034547152194211,0.3104575163398693
train,0.2149977,0.03221288515406162,0.3104575163398693
train,0.21472795,0.03221288515406162,0.30952380952380953
train,0.21469308,0.032679738562091505,0.30952380952380953
train,0.2139894,0.032679738562091505,0.3081232492997199
train,0.21370733,0.03314659197012138,0.3081232492997199
train,0.21356435,0.03314659197012138,0.3067226890756303
train,0.21334669,0.03361344537815126,0.3067226890756303
train,0.21307307,0.03361344537815126,0.3057889822595705
train,0.21288866,0.034080298786181136,0.3057889822595705
train,0.21285465,0.034080298786181136,0.30532212885154064
train,0.21250138,0.035480859010270774,0.30532212885154064
train,0.21092159,0.035480859010270774,0.3020541549953315
train,0.21067098,0.03594771241830065,0.3020541549953315
train,0.20990275,0.03594771241830065,0.300186741363212
train,0.20984869,0.036414565826330535,0.300186741363212
train,0.209834,0.036414565826330535,0.29925303454715224
train,0.20968434,0.037815126050420166,0.29925303454715224
train,0.20961231,0.037815126050420166,0.29878618113912236
train,0.2095997,0.03828197945845005,0.29878618113912236
train,0.20942645,0.03828197945845005,0.29738562091503273
train,0.20922767,0.0392156862745098,0.29738562091503273
train,0.208694,0.0392156862745098,0.29505135387488324
train,0.20859887,0.03968253968253968,0.29505135387488324
train,0.2085729,0.03968253968253968,0.2941176470588235
train,0.20829739,0.04061624649859944,0.2941176470588235
train,0.20823663,0.04061624649859944,0.2936507936507936
train,0.20762908,0.04108309990662932,0.2936507936507936
train,0.20658492,0.04108309990662932,0.29084967320261434
train,0.20642097,0.041549953314659195,0.29084967320261434
train,0.20594132,0.041549953314659195,0.2899159663865546
train,0.20576285,0.04201680672268908,0.2899159663865546
train,0.20341045,0.04201680672268908,0.2852474323062558
train,0.2033177,0.042483660130718956,0.2852474323062558
train,0.2025996,0.042483660130718956,0.28291316526610644
train,0.20249891,0.04295051353874883,0.28291316526610644
train,0.20212996,0.04295051353874883,0.28244631185807656
train,0.20192178,0.04341736694677871,0.28244631185807656
train,0.2012081,0.04341736694677871,0.28057889822595705
train,0.20060971,0.04435107376283847,0.28057889822595705
train,0.19871956,0.04435107376283847,0.2777777777777778
train,0.19849868,0.04481792717086835,0.2777777777777778
train,0.19711442,0.04481792717086835,0.27497665732959853
train,0.19665441,0.046218487394957986,0.27497665732959853
train,0.19591327,0.046218487394957986,0.273109243697479
train,0.1954034,0.04715219421101774,0.273109243697479
train,0.19513032,0.04715219421101774,0.27264239028944914
train,0.19485834,0.04855275443510738,0.27264239028944914
train,0.19458365,0.04855275443510738,0.27077497665732964
train,0.194158,0.049019607843137254,0.27077497665732964
train,0.19408475,0.049019607843137254,0.2698412698412699
train,0.19399054,0.04948646125116713,0.2698412698412699
train,0.19287653,0.04948646125116713,0.26844070961718025
train,0.19271968,0.049953314659197015,0.26844070961718025
train,0.19270203,0.049953314659197015,0.2679738562091504
train,0.19057205,0.05228758169934641,0.2679738562091504
train,0.18976758,0.05228758169934641,0.2670401493930906
train,0.18936208,0.052754435107376284,0.2670401493930906
train,0.18889283,0.052754435107376284,0.265172735760971
train,0.18813965,0.05368814192343604,0.265172735760971
train,0.18772149,0.05368814192343604,0.26423902894491125
train,0.1874776,0.055088702147525676,0.26423902894491125
train,0.18738134,0.055088702147525676,0.26377217553688137
train,0.1871423,0.05555555555555555,0.26377217553688137
train,0.1860621,0.05555555555555555,0.26190476190476186
train,0.18603085,0.056022408963585436,0.26190476190476186
train,0.18585661,0.056022408963585436,0.261437908496732
train,0.18574207,0.05695611577964519,0.261437908496732
train,0.18542106,0.05695611577964519,0.2609710550887021
train,0.18537316,0.05742296918767507,0.2609710550887021
train,0.1841061,0.05742296918767507,0.25770308123249297
train,0.18391487,0.05788982259570495,0.25770308123249297
train,0.18285377,0.05788982259570495,0.2553688141923436
train,0.18200044,0.05929038281979458,0.2553688141923436
train,0.18196325,0.05929038281979458,0.2549019607843137
train,0.18171164,0.06162464985994398,0.2549019607843137
train,0.18144411,0.06162464985994398,0.25396825396825395
train,0.1812878,0.06209150326797386,0.25396825396825395
train,0.18113948,0.06209150326797386,0.2535014005602241
train,0.18069625,0.06302521008403361,0.2535014005602241
train,0.18060648,0.06302521008403361,0.2530345471521942
train,0.1804773,0.06349206349206349,0.2530345471521942
train,0.18038563,0.06349206349206349,0.2525676937441643
train,0.18009642,0.06442577030812324,0.2525676937441643
train,0.17988545,0.06442577030812324,0.2511671335200747
train,0.1797576,0.06489262371615313,0.2511671335200747
train,0.17945033,0.06489262371615313,0.24976657329598506
train,0.17929257,0.06535947712418301,0.24976657329598506
train,0.17908126,0.06535947712418301,0.24836601307189543
train,0.17900503,0.06582633053221289,0.24836601307189543
train,0.17865825,0.06582633053221289,0.24649859943977592
train,0.17834117,0.06629318394024276,0.24649859943977592
train,0.1776654,0.06629318394024276,0.24603174603174605
train,0.17736688,0.0676937441643324,0.24603174603174605
train,0.17733866,0.0676937441643324,0.24556489262371617
train,0.1769323,0.06816059757236227,0.24556489262371617
